,report_text,source_name,Bioagressor,Disease
1,arbres fruitiers,AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
2,"cloque du pecherl'évolution des bourgeons est très hétérogène selon les zones et selon les variétés. on trouve des plantations n'ayant pas encore bougé, et d'autres où les yeux même latéraux sont déjà avancés. la décision de traiter ou de retraiter sera donc directement fonction de vos observations. tenir compte du fait que les dernières pluies ont été favorables aux contaminations.
nous rappelons que les produits utilisables sont :
- le zirame à 180 g de matière active/hl
- le thirame à 175 g de m.a./hl
- le ferbame à 175 g de m.a./hl
- le captafol à 120 g de m.a./hl",AA_AF_VG_Rhone-Alpes_1985_004,0,1.0
3,"traitements d'hiverils sont encore possible dans certaines situations. lorsque le débourrement est proche, utiliser alors les oléoparathions à la dose de 1,5 1/hl sauf pour les psylles contre lesquels les colorants nitrés à la dose de 600 g/hl restent encore efficaces tant que le stade c n'est pas atteint et que les premières éclosions n'ont pas eu lieu. bien mouiller la totalité des rameaux.",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
4,stades phenologiques :conservez le tableau ci-joint. nous y ferons souvent référence au cours de la campagne.,AA_AF_VG_Rhone-Alpes_1985_004,0,1.0
6,"excoriose :attendez pour les traitements ""debourrement""
si vous avez choisi d'effectuer un traitement au débourrement, vous pourrez utiliser un des produits de la liste suivante.
ces produits s'appliquent au stade d -et e. il est donc encore trop tôt pour traiter. mais surveillez bien les stades végétatifs au moment du débourrement.
- dichlofluanide à 200 g de m.a./hl
- dithianon à 50 g de m.a./hl
- folpel à 150 g de m.a./hl
- mancozèbe à 280 g de m.a./hl
- métirame de zinc à 320 g de m.a./hl
- propinèbe à 280 g de m.a./hl
- soufre à 1000 g de m.a./hl
nombreuses associations à base de matières actives déjà citées, ou de cymoxanil, phoséthyl al.
on évitera l'emploi des spécialités à base de métalaxyl (acylon super f) ou d'ofurace (caltan, vamin) en raison des phénomènes de résistance du mildiou à ce type de produit.",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
7,feu bacterien des rosaceesarrêtes ministériels des 24.12.84 et 02.02.85,AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
8,"article 1er -tout propriétaire ou exploitant est tenu en cas de découverte de contamination par le feu bactérien, d'en faire immédiatement la déclaration auprès du ministère de l'agriculture, servi ce régional de la protection des végétaux 55 rue mazenod - 69 426 lyon cédex 3.",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
10,"article 3me -là où existe un foyer de contamination de feu bactérien, il est défini une zone de sécurité où sont appliquées des mesures particulières.",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
11,"article 10e -des dérogations pouvant être accordées par le chef du service régional de la protection des végétaux, pendant une période de 18 mois.
en application de l'arrêté ministériel :
— la multiplication et la plantation des végétaux cités ci-dessus sont interdites, sauf dérogation demandée au
service régional de la protection des végétaux 55 rue mazenod 69 426- lyon cédex 3
jusqu'au 2 aout 1986
à partir du 2 août 1986, toute plantation de ces végétaux est interdite sur tout le territoire.
- de nouvelles prospections seront effectuees en 1985 sur l'ensemble de notre region actuellement consideree indemne de feu bacterien.",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
12,"pêcherbourgeon d'hiver.
bourgeon gonflé.
on voit le calice.
on voit la corolle
on voit les étamines.
fleur ouverte.
chute des pétales.
fruit noué
jeune fruit.
d'apres baggiolini (stations federales d'essais agricoles de lausanne)",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
13,"cerisierbourgeon d'hiver.
bourgeon gonflé.
boutons visibles.
les boutons se séparent.
on voit les étamines.
fleur ouverte.
chute des pétales.
nouaison.
le calice tombe.
jeune fruit.
dapres baggiolim (stations federales d'essais agricoles de lausanne)",AA_AF_VG_Rhone-Alpes_1985_004,0,0.0
14,"dupoirier :ce petit charançon destructeur de bourgeons floraux a généralement disparu de la plupart des cultures, mais dans les rares vergers contaminés il est conseillé d'effectuer une pulvérisation copieuse avec l'un des insecticides suivants :
- d d 1 : dose 100 gr. de matière active p2r hl de bouillie ;
- méthoxychlore : 100 gr. "" "" "" "" ;
- lindanc : 12 gr. "" "" "" "" ;
respecter strictement les dates limites d'emploi des insecticides avant récolte (voir bulletin n° 115 d'avril 1970).",AA_TC_Bourgogne_Franche_comte_1970_029,0,0.0
16,"le :utilisé à la dose de 1,8 - 2,5 kg de matière active à l'hectare et valable sur l'ensemble dos graminées, y compris les repousses do céréales, ce produit doit être appliqué du stade cotylédonaire au stade rosette du colza, avant que le bourgeon terminal se sépare du collet et dès que la majorité des graminées est levée.
le dalapon sensibilise le colza au froid et ne doit donc pas être utilisé trop tardivement.",AA_TC_Bourgogne_Franche_comte_1970_029,0,0.0
17,"le t.c.a. :utilisé à la dose de 5 à 7 kg de matière active à l'hectare est efficace sur vulpins jeunes, avant tallage. la végétation du colza doit être comprise entre le stade 2 à 3 feuilles (en plus des cotylédons) et le stade rosette.
traiter lorsque le sol est humide et avant le début des fortes gelées.",AA_TC_Bourgogne_Franche_comte_1970_029,0,0.0
18,"tenthrède de la rave :les larves noirâtres de cet insecte causent parfois des dégâts importants sur le feuillage des jeunes colzas. en cas de nécessité, appliquer un traitement avec parathion, lindane ou roténone.
p. riboteau.
dernière note : bulletin n° 120 de septembre 1970.
los ingénieurs responsables des avertissements agricoles.
petiot - tissot
l'ingénieur d'agronomie chef de la circonscription phytosanitaire ""bourgogne et franche-comte""
varlet.",AA_TC_Bourgogne_Franche_comte_1970_029,0,0.0
19,"boarmiecet ennemi animal, difficile à détecter, dont les dégâts sont souvent confondus avec ceux des vers gris, a été observé dans plusieurs régions viticoles de la champagne, les blancs étant le plus souvent les premières victimes.
un traitement à base d'endosulfan semble être le meilleur, le lindane ou le parathion sont, par contre, peu efficaces.",AA_TC_Champagne-Ardenne_1978_009,1,0.0
20,"rougeot (ou rot brenner)le danger est évident, vu les conditions météorologiques. la réapparition en 1977 de la maladie dans de nombreuses régions où elle n'avait plus été observée depuis longtemps nous amène à recommander la plus grande vigilance.
nous rappelons que le procédé préconisé par m. j.m. mauro reste le meilleur, savoir :
- 1er traitement dès la 2ème-3ème feuille - même si on a l'impression qu'il n'y a que du bois.
- ensuite : toutes les 3 feuilles jusqu'à ce que les traitements antimildiou prennent la relève.",AA_TC_Champagne-Ardenne_1978_009,0,1.0
21,"tavelure du pommier et du poirierles arbres sont maintenant très récëptifs aux contaminations primaires ? des projections d'ascospores' sont toujours ""enregistrées"" à chaque période pluvieuse. une nouvelle protection des vergers est souhaitable, les surfaces foliaires se développant rapidement.",AA_TC_Champagne-Ardenne_1978_009,0,1.0
23,"cheimatobie (chenilles arpenteuses)les premières chenilles ont été observées. si aucun traitement insecticide n'a été fait à ce jour, surveiller attentivement les bouquets foliaires et floraux. durant la floraison n'employer que des produits non dangereux pour les abeilles. si aucun traitement ne s'impose contre les chenilles (cheimatobie et autres espèces : tordeuses rouges et vertes) attendre la fin de la floraison pour intervenir.",AA_TC_Champagne-Ardenne_1978_009,1,0.0
24,pucerons :a surveiller sur reine des reinettes.,AA_TC_Champagne-Ardenne_1978_009,1,0.0
26,"monilia sur cerisiers particulièrement sur griottes, renouveler la protection des arbres, même en pleine floraison. un temps humide est très propice au développement de cette maladie.",AA_TC_Champagne-Ardenne_1978_009,0,1.0
27,déssèchement des pousses de framboisier (didymella)effectuer un traitement à l'aide d'une des matières actives suivantes : benomyl - - captane - dithianon - mancozèbe - méthylthiophanate - thirame.,AA_TC_Champagne-Ardenne_1978_009,1,0.0
28,"charançon des siliques sur colza d'hiverles colzas évoluent lentement vers la floraison sans que des populations inquiètantes de charançons des siliques soient observées. la rareté de cet insecte au cours de la dernière campagne en limite d'ailleurs le risque.
il est rappelé que la lutte n'est à entreprendre contre ce charançon que si l'on observe en moyenne 1 insecte par hampe florale.
ne mettre éventuellement en oeuvre que des insecticides reconnus non dangereux pour les abeilles.",AA_TC_Champagne-Ardenne_1978_009,1,0.0
